session_id	local_folder	project_id	conversation_name	notes
local_27a16fec-bc42-49fc-ac8a-7d5ff68835f0	MCF/ChurnLevelIndictor	ChurnLevelIndicator	ChurnLevelIndicator - Build	local_folder keeps the real on-disk (typo'd) dir name; project_id is the resolved clean label
local_1b8125e1-4529-4d38-a9ad-58d4422f5044	MCF/PricingModel	Pricing Model	PricingModel - Modal rate analysis plan
local_2d41a9a8-1f09-416a-b185-7d32f9969403	MCF/PricingModel	Pricing Model	PricingModel - Brief 8
local_18c1d671-7cad-4b09-af75-6ec3142f714d	MCF/PricingModel	Pricing Model	PricingModel - Representative sample and cost basis
local_7f90d06c-0795-41a5-b067-dea3d4cc678b	MCF/PricingModel	Pricing Model	PricingModel - Visit population and repoint
local_13434620-7f0f-42d3-ac8f-0c08d1ce7423	MCF/PricingModel	Pricing Model	PricingModel - Code Display Explorer Levers
local_e3eedf8a-4652-41ae-bfad-b4b16e5d2890	MCF/TSsToAssets	Telematic Solutions to Assets	TSToAssets - Design
local_5157978b-45e5-4a85-8a96-7baea160ad33	MCF/PricingModel	Pricing Model	PricingModel - Brief 3 pending tasks
local_9460482c-ef3c-4d91-9514-1fec0936a4f7	MCF/WizForgeAnalytics	WizForgeAnalytics	WizForgeAnalytics - Design Thread
local_0fb84937-2c28-45db-8722-0624e2f313ce	MCF/ActivityStatements	Activity Statements	ActivitySatements - Design Thread	conversation title still carries the ActivitySatements typo; local_folder/project_id are the resolved labels
local_2a4f071e-b893-478a-ae7e-5ed61b1f1859	MCF/WizForgeAnalytics	WizForgeAnalytics	WizForgeAnalytics - Design - CLOSED
local_9f2044cb-3a41-40d1-b662-34a4c89f023f	MCF/ActivityStatements	Activity Statements	ActivityStatements - Billing Audit - Jul 26
local_5bf957ee-42e0-4997-af2a-32c8e22c9991	MCF/PricingModel	Pricing Model	PricingModel - Job sequence appliers brief
local_192885ed-631b-40e1-82f5-8fb6894ee25a	MCF/PricingModel	Pricing Model	PricingModel - UAT briefs and terminal runs
local_a5cffbeb-6605-4fed-8797-613fbee5b3a8	MCF/PricingModel	Pricing Model	PricingModel - Explorer flattening country
local_08b8f75d-a4a1-4d58-b6b1-6e8aeaeef575	MCF/PricingModel	Pricing Model	PricingModel - SF pricing export
local_9f630dbf-2b2d-43aa-8b55-0ce71c34bcf2	MCF/SolConfig	Solution Configurator	SolutionConfigurator - design update
local_8c4b1383-c4d1-4e56-89db-ecf0f9297b96	MCF/SolConfig	Solution Configurator	SolutionConfigurator - Static config explorer
local_46c2a2fd-556c-4c0c-8b76-73afade2523b	MCF/SolConfig	Solution Configurator	SolutionConfigurator - Safe Read & Export Brief
local_12a9a614-07b8-41ff-ae40-72610c30ddec	MCF/SolConfig	Solution Configurator	SolutionConfigurator - initial Design/Build
local_0ba6cf36-8b29-4246-aab9-f6381c976733	MCF/ValidationAutomation	Validation Automation	ValidationAutomation - Validated cases compilation
local_b102b7e3-a2ab-4792-bfa1-3bd7c35b1c72	MCF/PricingModel	Pricing Model	PricingModel - Build
local_4c509e5f-135c-4bce-9cb9-464696cc1ad1	MCF/TSsToAssets	Telematic Solutions to Assets	TSToAssets - Design - CLOSED
local_cd450b11-a3eb-4a51-8eb9-7d2f43315ff5	MCF/TSsToAssets	Telematic Solutions to Assets	TSToAssets - Project build thread
local_c70f92d1-113e-402d-99d6-ba4621996da8	MCF/TSsToAssets	Telematic Solutions to Assets	TSToAssets - MCF data migration design
local_e4a15a1a-7738-4bb1-8422-2b912d0842bc	MCF/ChurnLevelIndictor	ChurnLevelIndicator	ChurnLevelIndicator - Case taxonomy refinement
local_0e35c4fa-d69f-4689-93a9-eca070121f4e	MCF/WizForgeAnalytics	WizForgeAnalytics	WizForgeAnalytics - Project linking skillset task list
local_1e5680b1-c080-4e6e-9e01-0d55270607fc	MCF/TSsToAssets	Telematic Solutions to Assets	TSToAssets - Salesforce recipe alignment analysis
local_fabe9197-55cb-4dcb-81ae-59036640d7bb	MCF/ChurnLevelIndictor	ChurnLevelIndicator	ChurnLevelIndicator - churn backtest feasibility audit
local_10655d00-6fdf-472c-ba22-c7b3698c9792	MCF/ChurnLevelIndictor	ChurnLevelIndicator	ChurnLevelIndicator - Family weight options
local_69794967-38e3-4c5c-b014-18ff5cdb6970	MCF/ChurnLevelIndictor	ChurnLevelIndicator	ChurnLevelIndicator - Mixpanel depth scoring investigation
local_07d9204c-06cb-477f-b2df-243464dfc081	MCF/WizForgeAnalytics	WizForgeAnalytics	WizForgeAnalytics - Data access layer proposal
local_659d9244-7ffd-4277-8d9a-1dd94d685bf6	MCF/ChurnLevelIndictor	ChurnLevelIndicator	ChurnLevelIndicator - profitability analysis
local_9eb75f4d-ef19-410d-9f6b-e4a9f5695649	MCF/WizForgeAnalytics	WizForgeAnalytics	WizForgeAnalytics - MCF folder projects
local_5f90f28a-5452-4112-af27-3f0869188d38	MCF/WizForgeAnalytics	WizForgeAnalytics	WizForgeAnalytics - Screenshot list extraction
local_117e716d-636b-4b76-b64c-b03bc6bacfda	MCF/SolConfig	Solution Configurator	SolutionConfigurator - Interview
local_52f66845-45a8-4b9c-92c4-9d6a36d0d575	MCF/ActivityStatements	Activity Statements	ActivityStatements - Billing Audit - Jun 26
